snapshot_at,snapshot_type,lot,internal_id,current_bid,bid_count,status,live_status,end_time,end_time_utc
2026-09-24T17:16:54.386854Z,export,30-1332,1799881,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18100,1705100,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18101,1705101,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18102,1705102,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18103,1705103,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18104,1705104,100,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18105,1705105,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18106,1705106,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18107,1705107,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18108,1705108,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18109,1705109,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18110,1705110,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18111,1705111,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18112,1705112,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18113,1705113,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18114,1705114,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18115,1705115,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18116,1705116,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18117,1705117,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18118,1705118,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18119,1705119,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18120,1705120,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18121,1705121,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18122,1705122,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18123,1705123,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18124,1705124,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18125,1705125,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18126,1705126,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18127,1705127,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18128,1705128,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18129,1705129,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18130,1705130,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18131,1705131,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18132,1705132,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18133,1705133,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18134,1705134,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18135,1705135,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18136,1705136,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18137,1705137,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18138,1705138,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18139,1705139,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18140,1705140,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18141,1705141,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18142,1705142,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18143,1705143,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18144,1705144,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18145,1705145,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18146,1705146,5,0,1,0,1790719200,2026-09-29T22:00:00Z
2026-09-24T17:16:54.386854Z,export,18147,1705147,5,0,1,0,1790719200,2026-09-29T22:00:00Z
